title,sub_title,body,category,gender,price,price_compare,qty,size,color,img
Zegama,Men's Trail Running Shoes,"Navigate the up and downs of uncompromising terrain with the Nike Zegama. Developed with great grip and stability, it has you covered so you can keep climbing and reach greater personal heights when the going gets grimy and gritty. Whether it's a challenging, rocky landscape going uphill or a steep, slick decline down a treacherous trail, feel confident when you decide to off-road it.",shoes,men,160,111.97,1,null,blue,/img/products/shoes/men/Zegama-1.webp
,,,,,,,1,null,green,/img/products/shoes/men/Zegama-2.webp
Pegasus 39,Men's Road Running Shoes,"Let the Nike Pegasus 39 help you ascend to new heights. More lightweight up top than the Pegasus 38 and ideal to wear in any season, it has a supportive sensation to help keep your feet contained, while underfoot cushioning and double Zoom Air units (1 more than the Peg 38) give you an extra pop to your step. Your trusted workhorse with wings is back. Time to fly.",shoes,men,104.97,139,1,null,white,/img/products/shoes/men/pegasus-39-white.webp
,,,,,,,1,null,green,/img/products/shoes/men/pegasus-39-green.webp
,,,,,,,1,null,pink,/img/products/shoes/men/pegasus-39-pink.webp
,,,,,,,1,null,purple,/img/products/shoes/men/pegasus-39-purple.webp
Vaporfly 2,Men's Road Racing Shoes,"Continue the next evolution of speed with racing shoes designed to help you chase new goals and records. The Nike Vaporfly 2 builds on a model loved by racers everywhere with a redesigned upper that aims to improve comfort and breathability. From a 10K to a marathon, this version maintains the responsive cushioning and secure support of the original to help push you toward your personal best.",shoes,men,260,260,1,null,blue,/img/products/shoes/men/Vaporfly-2-1.webp
,,,,,,,1,null,green,/img/products/shoes/men/Vaporfly-2-2.webp
,,,,,,,1,null,white,/img/products/shoes/men/Vaporfly-2-3.webp
,,,,,,,1,null,grey,/img/products/shoes/men/Vaporfly-2-4.jpeg
Alphafly 2,Men's Road Racing Shoes,"Once you take a few strides in the Nike Alphafly 2, you’ll never look at your favorite pair of old racing shoes the same. These rocket ships are made to help shave precious time off your personal records without surrendering the foundation you need to go the full distance. A thick, lightweight support system brings comfort and speed together so you can enjoy our greatest energy return yet while you chase your personal bests.",shoes,men,285,285,1,null,green,/img/products/shoes/men/alphafly-2-green.webp
,,,,,,,1,null,orange,/img/products/shoes/men/alphafly-2-orange.webp
Pegasus Trail 4,Women's Trail Running Shoes,"It's time to get outside. Running is your daily ritual, taking you from road to trail as you seek out new routes and goals. With a supportive, springy feel, these trail runners can take you there and back again. Underfoot traction helps keep you going over rocky terrain while still providing a smooth ride for the road. Your trusted workhorse with wings is back and ready for an off-road adventure.",shoes,women,145,145,1,null,pink,/img/products/shoes/women/Pegasus-Trail-4-pink.webp
,,,,,,,1,null,purple,/img/products/shoes/women/Pegasus-Trail-4-purple.webp
,,,,,,,1,null,red,/img/products/shoes/women/Pegasus-Trail-4-red.webp
,,,,,,,1,null,brown,/img/products/shoes/women/Pegasus-Trail-4-brown.webp
Infinity React 3,Women's Road Running Shoes,"Celebrate every mile with these festive road runners. With soft and supportive cushioning, the Nike Infinity React 3 is built to help keep you on the run. A wider forefoot and higher foam stacks help shield you from recurring attrition so you can make running a daily habit. The springy responsiveness surprises you too, adding an element of pure speed to 1 of our most tested shoes. Plus, colorful confetti-inspired graphic accents add fresh energy to your run.",shoes,women,165,165,1,null,purple,/img/products/shoes/women/Infinity-React-3-purple.webp
,,,,,,,1,null,pink,/img/products/shoes/women/Infinity-React-3-pink.webp
,,,,,,,1,null,grey,/img/products/shoes/women/Infinity-React-3-grey.webp
,,,,,,,1,null,white,/img/products/shoes/women/Infinity-React-3-white.webp
Structure 24,Women's Road Running Shoes,"The Nike Structure 24 has you ready to hit the road. We tested hundreds of runners to design the crash pad under your heel that creates a cushioned, smooth transition from heel to toe. Those insights also created an airy upper with breathability right where you need it.",shoes,women,110.97,130,1,null,white,/img/products/shoes/women/Structure-24-white.webp
,,,,,,,1,null,pink,/img/products/shoes/women/Structure-24-pink.webp
,,,,,,,1,null,pink,/img/products/shoes/women/Structure-24-pink-2.webp
,,,,,,,1,null,black,/img/products/shoes/women/Structure-24-black.webp
Zoom Fly 5,Women's Road Running Shoes,"Bridge the gap between your weekend training run and race day in a durable design that can be deployed not just at the starting line of your favorite race, but in the days and months after your conquest. It offers comfort and reliability but with a propulsive sensation that’ll help you feel fast and fresh. That kind of versatility is uncommon in the running arena. But who said you can’t have it all?",shoes,women,136.97,160,1,null,purple,/img/products/shoes/women/Zoom-Fly-5-purple.webp
,,,,,,,1,null,green,/img/products/shoes/women/Zoom-Fly-5-green.webp
,,,,,,,1,null,pink,/img/products/shoes/women/Zoom-Fly-5-pink.webp
,,,,,,,1,null,black,/img/products/shoes/women/Zoom-Fly-5-black.webp
React Infinity 3 By You,Custom Women's Road Running Shoes,"Stay on your feet in a design that’s made to help keep you healthy while catering to your individualistic tastes in the Nike React Infinity Run 3 By You. You’re the creator with the final say, painting and picking from an extensive pallet of colors and exterior details that suite your distinctive style. Customize it to your liking and feel hopeful about endless possibilities when you hit the open road.",shoes,women,190,190,1,null,white,/img/products/shoes/women/React-Infinity-3 By-You-white.jpeg
,,,,,,,1,null,pink,/img/products/shoes/women/React-Infinity-3 By-You-pink.webp
,,,,,,,1,null,red,/img/products/shoes/women/React-Infinity-3 By-You-red.webp
,,,,,,,1,null,black,/img/products/shoes/women/React-Infinity-3 By-You-black.webp
Dri-FIT Element,Women's Running Crew,The Nike Dri-FIT Element Crew returns with an updated design. An all-new sleeve features a window that lets you easily check your watch. This product is made with at least 75% recycled polyester fibers.,clothes,women,60,60,1,null,yellow,/img/products/clothes/women/Dri-FIT-Element-yellow.webp
,,,,,,,1,null,grey,/img/products/clothes/women/Dri-FIT-Element-grey.jpeg
,,,,,,,1,null,black,/img/products/clothes/women/Dri-FIT-Element-black.webp
,,,,,,,1,null,black,/img/products/clothes/women/Dri-FIT-Element-black-2.webp
Nike Swoosh,Women's Sports Bra,"With wide, comfy straps in a classic racerback design, the Nike Swoosh Sports Bra feels snug and secure while you move. Smooth, lightweight fabric wicks sweat to keep you dry, comfortable and focused. For every rep, step and jump—know that you’re supported.",clothes,women,35,35,1,null,yellow,/img/products/clothes/women/Nike-Swoosh-yellow.webp
,,,,,,,1,null,green,/img/products/clothes/women/Nike-Swoosh-green.webp
,,,,,,,1,null,pink,/img/products/clothes/women/Nike-Swoosh-pink.webp
Sportswear Phoenix Fleece,Women's High-Waisted Wide-Leg Sweatpants,"Rise up and transform your fleece wardrobe with strong cozy vibes. The extra-long, wide leg and hem vents of these Phoenix Fleece pants let you show off your favorite shoes while taller ribbing at the waist and an exaggerated drawcord ensure your look is anything but basic.",clothes,women,70,70,1,null,brown,/img/products/clothes/women/Sportswear-Phoenix-Fleece-brown.webp
,,,,,,,1,null,red,/img/products/clothes/women/Sportswear-Phoenix-Fleece-red.webp
Dri-FIT One,Women's Mid-Rise Printed Shorts,"These shorts are the ones that are down for everything you do—from long walks to HIIT to running errands. Their silky-smooth, ultrasoft woven fabric is balanced with sweat-wicking tech so you have ultimate comfort while feeling dry as you work out. The snug inner layer helps prevent chaffing so you can push yourself with uncompromising coverage.",clothes,women,52,52,1,null,blue,/img/products/clothes/women/Dri-FIT-One-blue.webp
,,,,,,,1,null,pink,/img/products/clothes/women/Dri-FIT-One-pink.webp
Nike Sportswear,Women's T-Shirt,"Deciding on what to wear has never been easier with this roomy tee. Whether you're wearing it alone or tucked under your favorite jacket, this soft cotton basic is sure to become an everyday favorite.",clothes,women,30,30,1,null,pink,/img/products/clothes/women/Nike-Sportswear-pink.webp
,,,,,,,1,null,white,/img/products/clothes/women/Nike-Sportswear-white.webp
Dri-FIT Slam,Women's Tennis Tank,"Crafted with our most innovative materials, this fitted tank pairs lightweight knit coverage with the breathability of mesh. The result is a statement-making top that will keep you cool and comfortable so you can play your best.",clothes,women,46.97,62,1,null,white,/img/products/clothes/women/Dri-FIT-Slam-white.webp
,,,,,,,1,null,blue,/img/products/clothes/women/Dri-FIT-Slam-blue.webp
,,,,,,,1,null,pink,/img/products/clothes/women/Dri-FIT-Slam-pink.webp
ACG Oregon Series,Men's Cargo Pants,"Tapping into the iconic ACG Oregon Series from 2002, these cargo pants follow the original design lines for that authentic, trail-ready look and feel. They're made with durable woven fabric, and a reinforced seat to help them withstand your most rugged adventures. Multi-purpose cargo pockets give you secure space to store your hiking essentials and the integrated belt helps you find a comfy fit for the long haul.",clothes,men,205,205,1,null,green,/img/products/clothes/men/cargo-pants-green.webp
Therma-FIT,Men's Pullover Hoodie,"Bring the heat to your cold weather workout. In the Therma-FIT Pullover, supersoft fleece keeps the comfort levels high while you take your exercise routine to the next level. A relaxed feel means you can stretch and bench without anything holding you back.",clothes,men,65,65,1,null,,/img/products/clothes/men/themal-fit-hoodie-purple.webp
,,,,,,,,,,/img/products/clothes/men/themal-fit-hoodie-red.webp
,,,,,,,,,,/img/products/clothes/men/themal-fit-hoodie-blue.webp
,,,,,,,,,,/img/products/clothes/men/themal-fit-hoodie-grey.jpeg
Dri-FIT DNA,Men's Basketball Shorts,"Take care of the future like you take care of the ball in the Nike Dri-FIT DNA Shorts. Made from at least 75% recycled polyester, they offer light, breathable fabric that's tailored for the game.",clothes,men,50,50,1,,,/img/products/clothes/men/Dri-FIT-DNA-shorts-blue.webp
,,,,,,,,,,/img/products/clothes/men/Dri-FIT-DNA-shorts-grey.webp
,,,,,,,,,,/img/products/clothes/men/Dri-FIT-DNA-shorts-red.webp
